"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Blanco, Ronel",669854,"HOU","FF","4-Seam Fastball",-1.7,-5,"283",35.6,"58","0.267","0.6","0.432",16.8,10.3,9.2,"0.24","0.487","0.388",45
"Vásquez, Randy",681190,"SD","FF","4-Seam Fastball",0.1,0,"275",18.8,"57","0.277","0.426","0.372",11.9,10.5,7.8,"0.284","0.528","0.406",43.9
"Scott, Tanner",656945,"LAD","SL","Slider",1,3,"257",41.5,"57","0.283","0.358","0.311",36.1,31.6,19.4,"0.22","0.301","0.258",34.3
"Senga, Kodai",673540,"NYM","FC","Cutter",1.6,4,"244",20.8,"57","0.224","0.265","0.332",18.7,3.5,8,"0.269","0.335","0.324",46.8
"Blewett, Scott",656240,"BAL","FF","4-Seam Fastball",0.2,1,"251",36.3,"57","0.234","0.468","0.354",17.3,12.3,14.9,"0.287","0.601","0.419",63.4
"Cantillo, Joey",676282,"CLE","FF","4-Seam Fastball",-2.9,-7,"238",40.7,"57","0.292","0.646","0.456",13.2,24.6,24.6,"0.297","0.619","0.435",64.7
"Domínguez, Seranthony",622554,"BAL","FF","4-Seam Fastball",-0.8,-2,"270",44.3,"57","0.214","0.476","0.412",26.1,21.1,20.7,"0.208","0.424","0.38",30
"Helsley, Ryan",664854,"STL","SL","Slider",3.8,9,"233",46.5,"57","0.074","0.148","0.113",46.4,47.4,28.7,"0.107","0.182","0.141",25
"Leasure, Jordan",673929,"CWS","SL","Slider",0.9,2,"250",42,"57","0.176","0.314","0.291",39.7,29.8,23,"0.178","0.256","0.241",32.4
"Holmes, Grant",656550,"ATL","FC","Cutter",2.4,6,"233",13.7,"57","0.212","0.288","0.275",17.8,5.3,11.5,"0.263","0.367","0.309",38.8
"De Los Santos, Enyel",660853,"ATL","SL","Slider",0.9,2,"242",39.9,"57","0.192","0.269","0.244",39.3,28.1,20,"0.194","0.283","0.248",33.3
"Scott, Tayler",605463,"AZ","FF","4-Seam Fastball",-3.1,-7,"244",49.4,"57","0.295","0.545","0.429",24.5,14,11,"0.274","0.534","0.417",43.2
